hour,bus_id,pv_profile_ratio,wind_profile_ratio,hydro_profile_ratio
10,172,0.683642830477283,0.017340152907904492,0.25069023
11,172,0.8003198408122704,0.0,0.26725566
12,172,0.8642475653338443,0.05744714824433105,0.26725566
13,172,0.866010804377166,0.14620602488407944,0.21148537
14,172,0.8319713206604071,0.0,0.21148537
15,172,0.7846282581544142,0.3238285581102073,0.18001104
16,172,0.6342144115771373,0.32060931645209123,0.19657648
17,172,0.4687339608863472,0.22739038085755633,0.21976808
18,172,0.29513252442321086,0.30243443640947343,0.20375483
19,172,0.11490381137337416,0.11883112298107978,0.19381557
20,172,0.00774455528578225,0.3682421658547829,0.18829376
21,172,0.0,0.1319805196692421,0.17007178
22,172,0.03560800247980345,0.07334609490087378,0.13859746
23,172,0.03269256679163626,0.0,0.1109884
24,172,0.03428904170701052,0.0,0.1082275
1,173,0.024936712082164424,0.2372414379197948,0.11430149
2,173,0.023644140553269338,0.13088115508315173,0.11319713
3,173,0.02649394679433607,0.14750069141585295,0.11154059
4,173,0.026276184561176093,0.05375539487290698,0.11264495
5,173,0.0,0.023394609816195146,0.1109884
6,173,0.016226588431722217,0.2130208982860926,0.14467145
7,173,0.1525660737724116,0.10001673739072606,0.15019326
8,173,0.3483349981620216,0.0070291675878209345,0.16510215
9,173,0.5380337073069363,0.0334619129463579,0.24295969
10,173,0.6948036113833629,0.0,0.25069023
11,173,0.8061204088433946,0.010148845679696558,0.26725566
12,173,0.8693276682136686,0.0,0.26725566
13,173,0.797620914980702,0.05474476916155632,0.21148537
14,173,0.8096269736627979,0.1923692336789677,0.21148537
15,173,0.7466897965292415,0.3231159102407548,0.18001104
16,173,0.6121169110673307,0.040435911476376096,0.19657648
17,173,0.4523593381096282,0.29317704961905083,0.21976808
18,173,0.2792996816390165,0.17627905952345674,0.20375483
19,173,0.06050679537412152,0.0,0.19381557
20,173,0.004832084666744424,0.02157724982776258,0.18829376
21,173,0.0,0.0,0.17007178
22,173,0.03472174739528027,0.13359542993259046,0.13859746
23,173,0.032985333273807226,0.062110629420014246,0.1109884
24,173,0.034320991663832894,0.11771002562699817,0.1082275
1,174,0.027440766870226785,0.09677343009733422,0.11430149
2,174,0.027472601162025108,0.0,0.11319713
3,174,0.027159653551554246,0.0,0.11154059
4,174,0.02810728381954589,0.0,0.11264495
5,174,0.0,0.0,0.1109884
6,174,0.0181178411735422,0.03659526995612026,0.14467145
7,174,0.15605515823265456,0.0,0.15019326
8,174,0.36222507394468195,0.0,0.16510215
9,174,0.5604359402522046,0.020534674148052275,0.24295969
10,174,0.7204351526838093,0.0,0.25069023
11,174,0.8307280612768972,0.0,0.26725566
12,174,0.8910121828210482,0.1637903125119904,0.26725566
13,174,0.8901065752605807,0.33744089693295015,0.21148537
14,174,0.7805463868961255,0.4055794831529966,0.21148537
15,174,0.6258382287020339,0.45632481086646276,0.18001104
16,174,0.486474403192241,0.4838681116170471,0.19657648
17,174,0.2842998805924894,0.5564499198107111,0.21976808
18,174,0.12960683309206508,0.2189033118344514,0.20375483
19,174,0.0483463432602991,0.0,0.19381557
20,174,0.00573656856646023,0.10471212619387069,0.18829376
21,174,0.0,0.0,0.17007178
22,174,0.03475561523071014,0.0,0.13859746
23,174,0.0323118509128936,0.06001503765427518,0.1109884
24,174,0.03390452453166965,0.0,0.1082275
1,175,0.02564115559812189,0.08186045136555739,0.11430149
2,175,0.022862556121916042,0.24020454115593962,0.11319713
3,175,0.025067953597780832,0.13568637952268542,0.11154059
4,175,0.025891682825763502,0.14500571518614822,0.11264495
5,175,0.0,0.275156509793988,0.1109884
6,175,0.019756860630406756,0.21698986942010734,0.14467145
7,175,0.17041703317601392,0.29296416158875255,0.15019326
8,175,0.3737979736180405,0.2027033190106135,0.16510215
9,175,0.5640044427196638,0.1818185905227431,0.24295969
10,175,0.7204446839860859,0.1681239435682627,0.25069023
11,175,0.8311330564780917,0.2754811800671428,0.26725566
12,175,0.8953603561382626,0.09943334070262157,0.26725566
13,175,0.8571917386638441,0.1318866241013485,0.21148537
14,175,0.8326884061720329,0.23992661044716482,0.21148537
15,175,0.7716388953686887,0.2412949980419444,0.18001104
16,175,0.6352658831082348,0.2969100233531794,0.19657648
17,175,0.47071638802771,0.45105778989116596,0.21976808
18,175,0.2593822650480846,0.4655708409730774,0.20375483
19,175,0.037876659539457125,0.5061313515013722,0.19381557
20,175,0.0034720331757500215,0.5475748803206208,0.18829376
21,175,0.0,0.2559953991401507,0.17007178
22,175,0.034467076778808045,0.11293064612496832,0.13859746
23,175,0.03269629662060923,0.0,0.1109884
24,175,0.03426038819608902,0.14161867142439355,0.1082275
1,176,0.02424623532563212,0.037203026076694574,0.11430149
2,176,0.020613300550567253,0.0,0.11319713
3,176,0.021118660648543043,0.0,0.11154059
4,176,0.023277180852877152,0.0,0.11264495
5,176,0.0,0.0,0.1109884
6,176,0.025151042101168863,0.0,0.14467145
7,176,0.18137286666451935,0.0,0.15019326
8,176,0.3816402194832096,0.06406748460212307,0.16510215
9,176,0.5683284380030433,0.0,0.24295969
10,176,0.7231023185920336,0.0,0.25069023
11,176,0.8348919836373611,0.04954354836995436,0.26725566
12,176,0.8993357390339991,0.0,0.26725566
13,176,0.90176480212429,0.038588876928086664,0.21148537
14,176,0.7955561629153255,0.14207846957125694,0.21148537
15,176,0.7375974848935843,0.3271754724719493,0.18001104
16,176,0.6459122494462517,0.09437106009956818,0.19657648
17,176,0.5052903932198269,0.1216227044353343,0.21976808
18,176,0.3094483004635751,0.281249723284842,0.20375483
19,176,0.09390350044828943,0.4872114774768055,0.19381557
20,176,0.004348877585949145,0.5892458401553573,0.18829376
21,176,0.0,0.4757039655848323,0.17007178
22,176,0.03464967405733935,0.16525607143902957,0.13859746
23,176,0.031917853789887624,0.16543740458509057,0.1109884
24,176,0.03381333164963193,0.0,0.1082275
1,177,0.02435759709012429,0.3403828043728712,0.11430149
