시간,총부하MW,실부하MW
2025-05-01 오후 1:00:00,51936.605469,51317.742188
2025-05-01 오후 1:05:00,52073.542969,51453.375
2025-05-01 오후 1:10:00,52273.214844,51668.113281
2025-05-01 오후 1:15:00,52518.214844,51920.542969
2025-05-01 오후 1:20:00,52691.320312,52089.695312
2025-05-01 오후 1:25:00,53158.882812,52556.359375
2025-05-01 오후 1:30:00,53345.339844,52764.203125
2025-05-01 오후 1:35:00,53534.226562,52948.261719
2025-05-01 오후 1:40:00,53661.609375,53065.691406
2025-05-01 오후 1:45:00,53698.519531,53107.785156
2025-05-01 오후 1:50:00,54108.15625,53517.5625
2025-05-01 오후 1:55:00,53785.757812,53199.035156
2025-05-01 오후 2:00:00,53842.191406,53247.902344
2025-05-01 오후 2:05:00,53674.464844,53088
2025-05-01 오후 2:10:00,53778.671875,53190.996094
2025-05-01 오후 2:15:00,53997.777344,53415.773438
2025-05-01 오후 2:20:00,54388.015625,53804.246094
2025-05-01 오후 2:25:00,54011.039062,53429.84375
2025-05-01 오후 2:30:00,54267.832031,53680.574219
2025-05-01 오후 2:35:00,54419.664062,53824.863281
2025-05-01 오후 2:40:00,54300.203125,53716.308594
2025-05-01 오후 2:45:00,54229.257812,53661.609375
2025-05-01 오후 2:50:00,54422.1875,53845.335938
2025-05-01 오후 2:55:00,53954.25,53369.75
2025-05-01 오후 3:00:00,54139.550781,53556.105469
2025-05-01 오후 3:05:00,54074.335938,53484.332031
2025-05-01 오후 3:10:00,54038.878906,53457.667969
2025-05-01 오후 3:15:00,54312.460938,53722.007812
2025-05-01 오후 3:20:00,54209.933594,53610.210938
2025-05-01 오후 3:25:00,54407.457031,53824.332031
2025-05-01 오후 3:30:00,54230.578125,53643.105469
2025-05-01 오후 3:35:00,54338.675781,53754.246094
2025-05-01 오후 3:40:00,54634.183594,54056.484375
2025-05-01 오후 3:45:00,54370.5625,53789.246094
2025-05-01 오후 3:50:00,54385.761719,53800.640625
2025-05-01 오후 3:55:00,54399.839844,53825.191406
2025-05-01 오후 4:00:00,54427.621094,53845.921875
2025-05-01 오후 4:05:00,53922.5,53338.527344
2025-05-01 오후 4:10:00,54263.050781,53657.386719
2025-05-01 오후 4:15:00,54228.714844,53632.058594
2025-05-01 오후 4:20:00,54272.503906,53676.8125
2025-05-01 오후 4:25:00,54334.992188,53741.621094
2025-05-01 오후 4:30:00,54493.695312,53906.308594
2025-05-01 오후 4:35:00,54557.722656,53963.097656
2025-05-01 오후 4:40:00,54298.347656,53715.507812
2025-05-01 오후 4:45:00,54571.695312,53980.832031
2025-05-01 오후 4:50:00,54508.292969,53920.164062
2025-05-01 오후 4:55:00,54508.582031,53940.410156
2025-05-01 오후 5:00:00,54444.277344,53880.339844
2025-05-01 오후 5:05:00,53960.890625,53381.007812
2025-05-01 오후 5:10:00,53610.1875,53018.839844
2025-05-01 오후 5:15:00,53594.535156,52995.726562
2025-05-01 오후 5:20:00,53746.839844,53163.523438
2025-05-01 오후 5:25:00,53740.933594,53142.027344
2025-05-01 오후 5:30:00,53834.734375,53238.402344
2025-05-01 오후 5:35:00,53890.4375,53281.925781
2025-05-01 오후 5:40:00,53953.628906,53329.550781
2025-05-01 오후 5:45:00,54253.800781,53613.3125
2025-05-01 오후 5:50:00,54138.835938,53493.644531
2025-05-01 오후 5:55:00,54353.492188,53729.238281
2025-05-01 오후 6:00:00,54384.496094,53744.371094
2025-05-01 오후 6:05:00,54664.753906,54017.039062
2025-05-01 오후 6:10:00,54908.621094,54260.339844
2025-05-01 오후 6:15:00,54913.847656,54267.292969
2025-05-01 오후 6:20:00,54828.617188,54216.640625
2025-05-01 오후 6:25:00,54876.53125,54246.570312
2025-05-01 오후 6:30:00,55026.34375,54376.027344
2025-05-01 오후 6:35:00,55404.125,54756.472656
2025-05-01 오후 6:40:00,55146.640625,54507.351562
2025-05-01 오후 6:45:00,55404.957031,54760.492188
2025-05-01 오후 6:50:00,55059.609375,54423.542969
2025-05-01 오후 6:55:00,54993.816406,54344
2025-05-01 오후 7:00:00,55285.160156,54654.242188
2025-05-01 오후 7:05:00,55055.8125,54414.617188
2025-05-01 오후 7:10:00,55055.011719,54433.449219
2025-05-01 오후 7:15:00,55340.601562,54723.453125
2025-05-01 오후 7:20:00,55573.566406,54954.050781
2025-05-01 오후 7:25:00,55541.785156,54915.269531
2025-05-01 오후 7:30:00,55750.332031,55120.324219
2025-05-01 오후 7:35:00,55746.789062,55121.285156
2025-05-01 오후 7:40:00,55976.546875,55341.671875
2025-05-01 오후 7:45:00,55917.625,55291.316406
2025-05-01 오후 7:50:00,55870.574219,55244.222656
2025-05-01 오후 7:55:00,55490.300781,54864.042969
2025-05-01 오후 8:00:00,55458.839844,54839.863281
2025-05-01 오후 8:05:00,55211.425781,54602.988281
2025-05-01 오후 8:10:00,55250.546875,54627.734375
2025-05-01 오후 8:15:00,55218.046875,54598.316406
2025-05-01 오후 8:20:00,55151.988281,54530.527344
2025-05-01 오후 8:25:00,54797.359375,54191.230469
2025-05-01 오후 8:30:00,54473.121094,53849.144531
2025-05-01 오후 8:35:00,54535.726562,53932.5625
2025-05-01 오후 8:40:00,54496.0625,53867.164062
2025-05-01 오후 8:45:00,54420.332031,53802.929688
2025-05-01 오후 8:50:00,54115,53539.957031
2025-05-01 오후 8:55:00,53860.785156,53257.453125
2025-05-01 오후 9:00:00,53929.4375,53327.019531
2025-05-01 오후 9:05:00,53928.589844,53325.332031
2025-05-01 오후 9:10:00,53472.128906,52892.203125
2025-05-01 오후 9:15:00,53834.722656,53233.378906
2025-05-01 오후 9:20:00,53372.101562,52773.851562
2025-05-01 오후 9:25:00,53305.15625,52705.183594
2025-05-01 오후 9:30:00,53315.75,52719.210938
2025-05-01 오후 9:35:00,53045.289062,52453.945312
2025-05-01 오후 9:40:00,52888.242188,52304.832031
2025-05-01 오후 9:45:00,52644.84375,52067.503906
2025-05-01 오후 9:50:00,52383.839844,51803.6875
2025-05-01 오후 9:55:00,52378.804688,51798.988281
2025-05-01 오후 10:00:00,52552.347656,51987.367188
2025-05-01 오후 10:05:00,53010.90625,52448.703125
2025-05-01 오후 10:10:00,52980.003906,52434.324219
2025-05-01 오후 10:15:00,53010.910156,52453.304688
2025-05-01 오후 10:20:00,52982.546875,52434.730469
2025-05-01 오후 10:25:00,52720.550781,52167.71875
2025-05-01 오후 10:30:00,52740.507812,52206.394531
2025-05-01 오후 10:35:00,52613.039062,52079.410156
2025-05-01 오후 10:40:00,52133.875,51607.667969
2025-05-01 오후 10:45:00,51900.710938,51377.335938
2025-05-01 오후 10:50:00,51806.742188,51271.132812
2025-05-01 오후 10:55:00,51679.074219,51139.925781
2025-05-01 오후 11:00:00,51621,51087.765625
2025-05-01 오후 11:05:00,52242.792969,51703.835938
2025-05-01 오후 11:10:00,52020.910156,51490.234375
2025-05-01 오후 11:15:00,51872.367188,51338.914062
2025-05-01 오후 11:20:00,51635.539062,51110.203125
2025-05-01 오후 11:25:00,51209.796875,50684.988281
2025-05-01 오후 11:30:00,51172.191406,50645.683594
2025-05-01 오후 11:35:00,50772.214844,50259.628906
2025-05-01 오후 11:40:00,50200.34375,49673.425781
2025-05-01 오후 11:45:00,50049.078125,49512.835938
2025-05-01 오후 11:50:00,49780.609375,49234.921875
2025-05-01 오후 11:55:00,49828.179688,49306.824219
2025-05-02,49240.667969,48717.503906
2025-05-02 오전 12:05:00,48822.78125,48292.355469
2025-05-02 오전 12:10:00,48777.464844,48239.953125
2025-05-02 오전 12:15:00,48543.164062,47976.4375
2025-05-02 오전 12:20:00,47865.335938,47350.960938
2025-05-02 오전 12:25:00,47754.34375,47240.207031
2025-05-02 오전 12:30:00,47271.238281,46756.828125
2025-05-02 오전 12:35:00,47341.40625,46823.320312
2025-05-02 오전 12:40:00,47114.835938,46592.699219
2025-05-02 오전 12:45:00,47205.40625,46689.171875
2025-05-02 오전 12:50:00,46932.507812,46406.507812
2025-05-02 오전 12:55:00,46729.246094,46214.519531
2025-05-02 오전 1:00:00,46402.503906,45883.007812
2025-05-02 오전 1:05:00,46339.816406,45825.40625
2025-05-02 오전 1:10:00,46119.898438,45608.296875
2025-05-02 오전 1:15:00,46093.078125,45573.78125
2025-05-02 오전 1:20:00,45901.722656,45378.609375
2025-05-02 오전 1:25:00,45662.464844,45149.476562
2025-05-02 오전 1:30:00,45443.316406,44920.671875
2025-05-02 오전 1:35:00,45234.695312,44697.761719
2025-05-02 오전 1:40:00,45184.339844,44674.695312
2025-05-02 오전 1:45:00,45029.382812,44512.625
2025-05-02 오전 1:50:00,44927.785156,44410.738281
2025-05-02 오전 1:55:00,44882.492188,44378.128906
2025-05-02 오전 2:00:00,44997.808594,44495.800781
2025-05-02 오전 2:05:00,45064.671875,44557.871094
2025-05-02 오전 2:10:00,44971.785156,44474.335938
2025-05-02 오전 2:15:00,44834.199219,44326.324219
2025-05-02 오전 2:20:00,44679.601562,44181.3125
2025-05-02 오전 2:25:00,44634.164062,44132.542969
2025-05-02 오전 2:30:00,44210.960938,43707.742188
2025-05-02 오전 2:35:00,44345.417969,43842.792969
2025-05-02 오전 2:40:00,44132.816406,43643.289062
2025-05-02 오전 2:45:00,43917.59375,43427.246094
2025-05-02 오전 2:50:00,43872.84375,43378.128906
2025-05-02 오전 2:55:00,44015.15625,43518.355469
2025-05-02 오전 3:00:00,44111.449219,43605.519531
2025-05-02 오전 3:05:00,43868.238281,43371.597656
2025-05-02 오전 3:10:00,44106.824219,43611.214844
2025-05-02 오전 3:15:00,44041.527344,43547.097656
2025-05-02 오전 3:20:00,43993.402344,43499.308594
2025-05-02 오전 3:25:00,43907.246094,43422.136719
2025-05-02 오전 3:30:00,43636.953125,43152.519531
2025-05-02 오전 3:35:00,43810.679688,43325.808594
2025-05-02 오전 3:40:00,43822.394531,43339.15625
2025-05-02 오전 3:45:00,43605.195312,43110.007812
2025-05-02 오전 3:50:00,43656.816406,43171.171875
2025-05-02 오전 3:55:00,43569.492188,43072.980469
2025-05-02 오전 4:00:00,43737.417969,43237.507812
2025-05-02 오전 4:05:00,43785.820312,43298.902344
2025-05-02 오전 4:10:00,43933.539062,43445.832031
2025-05-02 오전 4:15:00,44093.207031,43605.203125
2025-05-02 오전 4:20:00,43885.996094,43388.484375
2025-05-02 오전 4:25:00,43820.359375,43324.988281
2025-05-02 오전 4:30:00,44128.304688,43636.460938
2025-05-02 오전 4:35:00,43945.597656,43451.792969
