gen_id,bus,Pg,Qg,type,S_base_MVA,H_s,M,D
5,5,2.0,-0.019207,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
31,43,8.8,0.203512,Coal,900.0,5.0,23.873241463784304,47.74648292756861
122,172,7.7,1.128992,Nuclear,1000.0,6.0,31.83098861837907,63.66197723675814
43,52,7.740961,-3.164651,Nuclear,1000.0,6.0,31.83098861837907,63.66197723675814
90,139,7.381323,-0.465813,Nuclear,1000.0,6.0,31.83098861837907,63.66197723675814
39,49,7.749674,0.129663,Nuclear,1000.0,6.0,31.83098861837907,63.66197723675814
112,163,7.7,2.247253,Nuclear,950.0,6.0,30.239439187460118,60.478878374920235
34,43,4.4,0.203512,Nuclear,950.0,6.0,30.239439187460118,60.478878374920235
44,52,7.482516,-3.164651,LNG,110.0,3.0,1.750704374010849,3.501408748021698
94,139,9.075277,-0.465813,LNG,880.0,3.0,14.005634992086792,28.011269984173584
55,79,8.8,-0.422257,LNG,880.0,3.0,14.005634992086792,28.011269984173584
86,129,7.7,0.309417,LNG,880.0,3.0,14.005634992086792,28.011269984173584
17,26,9.045927,0.764771,Coal,500.0,5.0,13.262911924324612,26.525823848649225
99,141,9.5,-0.782357,Coal,700.0,5.0,18.568076694054458,37.136153388108916
71,126,8.880573,0.472308,Nuclear,1000.0,6.0,31.83098861837907,63.66197723675814
37,44,8.8,-1.0746,Nuclear,1000.0,6.0,31.83098861837907,63.66197723675814
47,72,10.0,-1.084683,Nuclear,950.0,6.0,30.239439187460118,60.478878374920235
9,24,8.0,1.356444,Nuclear,950.0,6.0,30.239439187460118,60.478878374920235
73,126,8.733244,0.472308,Nuclear,1000.0,6.0,31.83098861837907,63.66197723675814
82,129,7.838673,0.309417,Nuclear,700.0,6.0,22.28169203286535,44.5633840657307
79,126,7.7,0.472308,Nuclear,700.0,6.0,22.28169203286535,44.5633840657307
20,26,9.0,0.764771,LNG,400.0,3.0,6.366197723675814,12.732395447351628
6,7,6.903335,-0.461419,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
